,grupo_id,Initial_Liters,Final_Liters,Initial_mA,Final_mA,Consumed_Liters,label
3649,3649,651.086162,626.2622216,7.664063,7.52396,-21.7594956,Taking a bath
3650,3650,620.4085691,627.9915802,7.486451,7.501648,-0.976523,Stable
3651,3651,616.7821793,609.7574223,7.468801,7.393099,-14.9426334,Toilet flushing
3652,3652,599.6064493,564.3744275,7.363561,7.189847,-28.0998038,Taking a bath
3653,3653,571.1940678,548.366841,7.178638,7.092868,-15.0343758,Toilet flushing
3654,3654,551.0318235,528.636987,7.079646,6.995709,-15.5820707,Toilet flushing
3655,3655,542.7523714,534.758662,7.03453,7.01413,1.9672295,Stable
3656,3656,532.447762,538.5151682,6.995009,7.038964,11.9514415,Stable
3657,3657,543.8079856,540.0568386,7.071382,7.036297,-8.7868718,Toilet flushing
3658,3658,548.195909,531.4508704,7.064327,6.960453,-17.7860535,Toilet flushing
3659,3659,532.026391,476.3524296,6.996817,6.679832,-54.0393876,Taking a bath
3660,3660,483.2668147,471.692628,6.72629,6.636428,-18.7632205,Toilet flushing
3661,3661,469.6506826,476.8067251,6.672385,6.678053,0.6239515,Stable
3662,3662,475.2516436,588.2062922,6.666174,7.319994,118.3053834,Tank Refilling
3663,3663,595.9128588,597.9627547,7.313311,7.352023,2.8909637,Stable
3664,3664,602.8803754,584.618635,7.37858,7.292031,-20.5557214,Toilet flushing
3665,3665,588.2876955,594.1186546,7.305842,7.356178,9.3014012,Stable
3666,3666,593.9654332,591.7063235,7.304793,7.339686,6.8136159,Stable
3667,3667,596.8542915,604.7032987,7.32969,7.372207,5.0564893,Stable
3668,3668,599.7276473,584.5609742,7.342824,7.260963,-18.7684974,Toilet flushing
3669,3669,584.2152864,623.7634678,7.259295,7.474697,42.3127455,Tank Refilling
3670,3670,610.4560213,592.9555557,7.442067,7.345654,-19.3548093,Toilet flushing
3671,3671,596.9792562,582.1863099,7.356296,7.26385,-22.4238695,Toilet flushing
3672,3672,574.5976636,580.0346639,7.240812,7.252757,1.8331089,Stable
3673,3673,580.1856423,569.2634126,7.224437,7.174655,-13.8376078,Toilet flushing
3674,3674,569.5411007,563.8141266,7.204469,7.173527,-2.5662587,Toilet flushing
3675,3675,564.6230464,654.9358826,7.171618,7.669068,95.1577576,Tank Refilling
3676,3676,664.466034,662.621023,7.692091,7.675527,-3.7909766,Stable
3677,3677,652.8608092,626.0306688,7.64706,7.509954,-20.5563441,Taking a bath
3678,3678,633.8002117,630.921009,7.515852,7.539925,3.1711995,Stable
3679,3679,626.5946501,621.9719875,7.517262,7.471141,-9.8505286,Toilet flushing
3680,3680,615.1715092,610.9017547,7.44098,7.432113,3.2353604,Stable
3681,3681,617.7521996,615.8250491,7.472716,7.441433,-1.147367,Toilet flushing
3682,3682,614.9598008,603.3920095,7.446775,7.394813,-15.7604404,Toilet flushing
3683,3683,695.4254849,594.9548479,7.8125,7.202148,-103.730803,Washing clothes
3684,3684,544.6491592,483.9682952,6.896973,6.591797,-47.7597668,Taking a bath
3685,3685,491.3313991,455.434927,6.591797,6.408691,-32.6176783,Taking a bath
3686,3686,439.8698791,456.7660309,6.286621,6.408691,22.6711489,Stable
3687,3687,452.4946458,401.6593703,6.408691,6.103516,-56.221022,Taking a bath
3688,3688,430.8500339,421.3071309,6.286621,6.225586,-14.4926441,Toilet flushing
